fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t300_b0,0.05,300.0,0.0,1,804,0.5984677602049039,1.0025387821969558,0.4975124378109453,0.3567647964810229,0.6118196358572698,0.9406323167237775,447.51868049768314,88.13374805185022,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t300_b0,0.05,300.0,0.0,1,806,0.5712740805030777,0.963602918505695,0.543424317617866,0.3281413207107378,0.616618577903319,0.9371728140972959,302.4579763156685,92.82669040730185,5.820766091346741e-11
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t300_b0,0.05,300.0,0.0,1,957,0.5762268888786664,0.9711052661551239,0.54858934169279,0.24606317504062214,0.5875744403025135,0.9358871943286756,379.0709614446903,91.07079625205311,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t300_b0,0.05,300.0,0.0,1,961,0.5903818762649596,0.9908192510158422,0.5296566077003122,,,0.9404264448775945,368.2337972451719,91.21708389158616,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,540,0.5453404835335053,0.9291545238821249,0.575925925925926,0.28971443410765974,0.599401154130872,0.9683318940105542,456.9714894025251,90.47292233711816,4.547473508864641e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,816,0.5819413737401656,0.9791118864264967,0.5392156862745098,0.26200502644088236,0.5933649941345353,0.9408925123364086,427.5490073027024,92.12470409529374,9.094947017729282e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,804,0.5984454349238926,1.0025057727004631,0.4975124378109453,0.3567057540991478,0.6117688268018383,0.9405848825339723,448.2294976678497,88.11504471429276,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,806,0.5712697422536586,0.9635958140739368,0.543424317617866,0.3280720572884611,0.6165651671230846,0.9371578289302701,302.8261574281901,93.02239808843206,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,957,0.5762192447749099,0.9710957156842476,0.5496342737722049,0.2459606302043218,0.5876255491630415,0.935794072133183,378.8406492473671,91.07652314939399,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t400_b0,0.05,400.0,0.0,1,961,0.5903721471105149,0.9908047311195706,0.5296566077003122,,,0.9402621115914308,369.22097025948574,91.2164309781457,4.547473508864641e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.05_t500_b0,0.05,500.0,0.0,1,540,0.5453269871376842,0.9291365652550595,0.575925925925926,0.28947725982051054,0.599305226684386,0.968204788888308,457.3827679712542,90.66996236071942,4.547473508864641e-13
