season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-50086,AO-UEFA-50086,50086,Derry City,Derry,Ireland,IRL,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-52381,AO-UEFA-52381,52381,Shamrock Rovers,Shamrock Rovers,Ireland,IRL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-53020,AO-UEFA-53020,53020,Shelbourne,Shelbourne,Ireland,IRL,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59034,AO-UEFA-59034,59034,Beitar Jerusalem,Beitar,Israel,ISR,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-59340,AO-UEFA-59340,59340,Hapoel Beer-Sheva,H. Beer-Sheva,Israel,ISR,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-59869,AO-UEFA-59869,59869,Hapoel Tel-Aviv,H. Tel-Aviv,Israel,ISR,VERIFIED_UEFA_ID_OVERRIDE,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-57477,AO-UEFA-57477,57477,Maccabi Tel-Aviv,M. Tel-Aviv,Israel,ISR,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50058,AO-UEFA-50058,50058,AC Milan,Milan,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50137,AO-UEFA-50137,50137,AS Roma,Roma,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-52816,AO-UEFA-52816,52816,Atalanta,Atalanta,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-79946,AO-UEFA-79946,79946,Como 1907,Como,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50138,AO-UEFA-50138,50138,Internazionale,Inter,Italy,ITA,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50139,AO-UEFA-50139,50139,Juventus,Juventus,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50136,AO-UEFA-50136,50136,Napoli,Napoli,Italy,ITA,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2600605,AO-UEFA-2600605,2600605,FK Astana,Astana,Kazakhstan,KAZ,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-79966,AO-UEFA-79966,79966,FK Yelimay,Elimai,Kazakhstan,KAZ,VERIFIED_UEFA_ID_OVERRIDE,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-79970,AO-UEFA-79970,79970,Kairat Almaty,Kairat Almaty,Kazakhstan,KAZ,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-79969,AO-UEFA-79969,79969,Tobol Kustanai,Tobol,Kazakhstan,KAZ,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
