model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
FULL_MODEL,full_model_a0.1_t150_b12,0.1,150.0,12.0,2,4884,0.5793609564626814,0.9755754921573352,0.5374692874692875,0.017917649810873886,0.2967487130304862,0.601698857082054,0.9356060018167958,498.10051831010014,92.65846316213262,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b0,0.1,250.0,0.0,1,4884,0.5793321948766235,0.975529206395793,0.5372645372645373,0.017654979370556368,0.2964771470292958,0.6016740138498053,0.9352709445055621,459.867698993761,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b2,0.1,250.0,2.0,2,4884,0.5793293810713881,0.9755257674881493,0.5372645372645373,0.017617342416044367,0.2967093109899957,0.6017223531850538,0.9354654055608557,466.5343656604273,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b4,0.1,250.0,4.0,2,4884,0.579326673260943,0.9755224852774708,0.5374692874692875,0.01759739362812131,0.2968147911765763,0.601740678014891,0.9355621796071522,473.2010323270947,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b6,0.1,250.0,6.0,2,4884,0.5793240653777468,0.9755193503519525,0.5374692874692875,0.017670175794431576,0.29676919418755,0.6017367953143564,0.9353805000296712,479.8676989937612,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b8,0.1,250.0,8.0,2,4884,0.5793215561625893,0.9755163607071411,0.5374692874692875,0.017811316542380842,0.2969013688376897,0.6017366640553583,0.9353549370740457,486.53436566042774,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b10,0.1,250.0,10.0,2,4884,0.5793191456729277,0.9755135163676687,0.5374692874692875,0.01781604414013761,0.29698785691934987,0.6017656857216426,0.9353668055891575,493.20103232709425,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t250_b12,0.1,250.0,12.0,2,4884,0.5793168339644862,0.9755108173571965,0.5374692874692875,0.01786170860711185,0.29715404020753766,0.6018247696886488,0.9353394167081303,499.8676989937612,92.85291572781531,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b0,0.1,300.0,0.0,1,4884,0.5793164208283499,0.9755061844743739,0.5374692874692875,0.017549667370771894,0.29667625936143743,0.601704154980888,0.9351294352869213,460.53855530146825,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b2,0.1,300.0,2.0,2,4884,0.5793136183138542,0.9755027615421138,0.5376740376740377,0.017486053122446527,0.29686868144655165,0.6017563097623619,0.9351896908251812,467.2052219681343,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b4,0.1,300.0,4.0,2,4884,0.57931092096075,0.9754994940109367,0.5376740376740377,0.017449658789848124,0.29682182314266753,0.6017019234597293,0.935213427855405,473.8718886348015,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b6,0.1,300.0,6.0,2,4884,0.5793083222871044,0.9754963718354267,0.5376740376740377,0.017618073479908698,0.2968723478959253,0.601717354525266,0.9351221315853141,480.5385553014685,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b8,0.1,300.0,8.0,2,4884,0.579305822350906,0.9754933950404066,0.5376740376740377,0.017622715958651863,0.297044941471496,0.601747370788262,0.9351011334431931,487.205221968135,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b10,0.1,300.0,10.0,2,4884,0.5793034212084837,0.9754905636498535,0.5376740376740377,0.017668380313651616,0.2970729634203219,0.6017269227348865,0.9351130019583048,493.8718886348015,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t300_b12,0.1,300.0,12.0,2,4884,0.579301118914504,0.9754878776868995,0.5376740376740377,0.017673141664867286,0.29719032925035244,0.6018052638575355,0.9349742316277667,500.538555301468,93.01762902961498,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t400_b0,0.1,400.0,0.0,1,4884,0.5792929774869426,0.97547206827419,0.5372645372645373,0.017716446876569546,0.29689008607029843,0.6018356354868036,0.9351221315853141,461.6071770890312,93.40904439187538,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t400_b2,0.1,400.0,2.0,2,4884,0.5792901908320894,0.9754686681548869,0.5374692874692875,0.017583319191552437,0.297069554012872,0.6018655540713714,0.9351604760187522,468.2738437556975,93.40904439187538,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t400_b4,0.1,400.0,4.0,2,4884,0.5792875042729846,0.9754654156226629,0.5374692874692875,0.017559504578472288,0.296990052722867,0.6017925451246933,0.9350737445621659,474.9405104223647,93.40904439187538,1.1641532182693481e-10
FULL_MODEL,full_model_a0.1_t400_b6,0.1,400.0,6.0,2,4884,0.5792849165031002,0.9754623086019993,0.5374692874692875,0.017563121745805876,0.2970775373981038,0.6018100886228941,0.9351056982566976,481.6071770890312,93.40904439187538,1.1641532182693481e-10
