match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0535,OK,True,True,True,ACCEPTED
202021-0176,OK,True,True,True,ACCEPTED
202021-0174,OK,True,True,True,ACCEPTED
202021-0536,OK,True,True,True,ACCEPTED
202021-0538,OK,True,True,True,ACCEPTED
202021-0175,OK,True,True,True,ACCEPTED
202021-0177,OK,True,True,True,ACCEPTED
202021-0537,OK,True,True,True,ACCEPTED
202021-0539,OK,True,True,True,ACCEPTED
202021-0540,OK,True,True,True,EXTRA_TIME_SCOPE_MISMATCH
202021-0178,OK,True,True,True,ACCEPTED
202122-0001,OK,True,True,True,NO_PUBLIC_XG
202122-0002,OK,True,True,True,NO_PUBLIC_XG
202122-0003,OK,True,True,True,NO_PUBLIC_XG
