power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.0,ALL,0.34,1.0,6340,0.5852680483808498,0.9884399614608788,0.06
0.0,ALL,0.18,1.5,6340,0.5826591747457538,0.9887364633270294,0.11000000000000003
0.0,ALL,0.2,2.0,6340,0.5817610634486942,0.9889764704988843,0.10000000000000002
0.0,ALL,0.36,1.5,6340,0.5867144898456133,0.9893040312150596,0.08999999999999996
0.0,ALL,0.36,1.25,6340,0.5879904626151553,0.9920768391187347,0.08499999999999996
0.0,ALL,0.38,2.0,6340,0.5891469263779628,0.9932922829760105,0.11999999999999998
0.0,ALL,0.36,1.0,6340,0.5898678054164185,0.9966648747758654,0.07999999999999996
0.0,ALL,0.38,1.5,6340,0.5912083872593293,0.9966821279094512,0.10999999999999997
0.0,ALL,0.18,2.0,6340,0.5846536163008197,0.9975093355616134,0.12000000000000004
0.0,ALL,0.38,1.25,6340,0.5929375195843396,1.0004476328031442,0.10499999999999998
0.0,ALL,0.38,1.0,6340,0.5953632046205634,1.0063149657940547,0.09999999999999998
0.0,UCL,0.24,1.0,1810,0.5609106203226129,0.9483758319932156,0.040000000000000036
0.0,UCL,0.26,1.0,1810,0.5610718528825753,0.9486808953113013,0.020000000000000018
0.0,UCL,0.26,1.25,1810,0.5612608979579947,0.9494855474083223,0.02500000000000002
0.0,UCL,0.22,1.0,1810,0.5616118877317692,0.949969227405343,0.060000000000000026
0.0,UCL,0.24,1.25,1810,0.5613853273523477,0.9500076736311147,0.04500000000000003
0.0,UCL,0.28,1.25,1810,0.561948934552228,0.9506276400772081,0.005
0.0,UCL,0.28,1.0,1810,0.5620955854116565,0.9507046033335,0.0
0.0,UCL,0.26,1.5,1810,0.561710377681555,0.9512534422396964,0.03000000000000002
0.0,UCL,0.28,1.5,1810,0.5621354047283454,0.9516506260211812,0.01
0.0,UCL,0.22,1.25,1810,0.5623222227352873,0.9523802545964003,0.06500000000000003
0.0,UCL,0.24,1.5,1810,0.5620553044932376,0.9524813179402598,0.05000000000000004
0.0,UCL,0.3,1.25,1810,0.5634494371350479,0.9532948687545649,0.024999999999999963
0.0,UCL,0.3,1.5,1810,0.563330385633609,0.9535292318439629,0.029999999999999964
0.0,UCL,0.2,1.0,1810,0.5631756551100443,0.9537055762874084,0.08000000000000002
0.0,UCL,0.3,1.0,1810,0.5639818179098566,0.9543156395438965,0.019999999999999962
0.0,UCL,0.22,1.5,1810,0.5631701851633931,0.955524384474042,0.07000000000000002
0.0,UCL,0.28,2.0,1810,0.5631048845558124,0.9561738266360327,0.02
0.0,UCL,0.32,1.5,1810,0.5652953203973455,0.9567810410940794,0.04999999999999998
0.0,UCL,0.3,2.0,1810,0.5638552244465075,0.95678191186603,0.039999999999999966
0.0,UCL,0.2,1.25,1810,0.5640715841068132,0.9568531496011285,0.08500000000000002
0.0,UCL,0.26,2.0,1810,0.5630559799137674,0.9569879913820352,0.04000000000000002
0.0,UCL,0.32,1.25,1810,0.5657624057064542,0.957384379127008,0.04499999999999998
0.0,UCL,0.32,2.0,1810,0.5653069995858523,0.9586980650946072,0.059999999999999984
0.0,UCL,0.24,2.0,1810,0.5637085105203724,0.9593732424256687,0.06000000000000004
0.0,UCL,0.32,1.0,1810,0.5667305503771752,0.9594206497866934,0.03999999999999998
0.0,UCL,0.18,1.0,1810,0.565601922457438,0.9599193013885181,0.10000000000000003
0.0,UCL,0.2,1.5,1810,0.5650550196920219,0.9606358555030379,0.09000000000000001
0.0,UCL,0.34,1.5,1810,0.5680302090195553,0.9613257155039817,0.06999999999999999
0.0,UCL,0.34,2.0,1810,0.5674602099738472,0.9618350682556156,0.08
0.0,UCL,0.34,1.25,1810,0.5688878402664468,0.9628222016663509,0.065
0.0,UCL,0.22,2.0,1810,0.5650624763756273,0.9635242678022772,0.08000000000000003
0.0,UCL,0.18,1.25,1810,0.5666334114669255,0.9637653041937126,0.10500000000000004
0.0,UCL,0.34,1.0,1810,0.5703417828136127,0.965957435720072,0.06
0.0,UCL,0.36,2.0,1810,0.5703148556104918,0.9661273004449338,0.09999999999999996
0.0,UCL,0.36,1.5,1810,0.5715350515002381,0.9671056208903971,0.08999999999999996
0.0,UCL,0.18,1.5,1810,0.5677098080791236,0.968157583028409,0.11000000000000003
0.0,UCL,0.36,1.25,1810,0.572825740815026,0.9695583299946193,0.08499999999999996
0.0,UCL,0.2,2.0,1810,0.5671178774795322,0.9696982948779107,0.10000000000000002
0.0,UCL,0.38,2.0,1810,0.5738709364957864,0.9715269660241638,0.11999999999999998
0.0,UCL,0.36,1.0,1810,0.574815515219169,0.9738907904359707,0.07999999999999996
0.0,UCL,0.38,1.5,1810,0.5758098478393938,0.9740822963440896,0.10999999999999997
0.0,UCL,0.38,1.25,1810,0.5775761073521917,0.9775635275533079,0.10499999999999998
0.0,UCL,0.18,2.0,1810,0.569874713832087,0.9782407274882815,0.12000000000000004
